date,lewis_word_count,season
1803-08-30,301,summer
1803-08-31,0,summer
1803-09-01,394,fall
1803-09-02,553,fall
1803-09-03,178,fall
1803-09-04,492,fall
1803-09-05,158,fall
1803-09-06,361,fall
1803-09-07,358,fall
1803-09-08,0,fall
1803-09-09,216,fall
1803-09-10,676,fall
1803-09-11,245,fall
1803-09-12,0,fall
1803-09-13,0,fall
1803-09-14,154,fall
1803-09-15,173,fall
1803-09-16,94,fall
1803-09-17,438,fall
1803-09-18,83,fall
1803-09-19,0,fall
1803-09-20,0,fall
1803-09-21,0,fall
1803-09-22,0,fall
1803-09-23,0,fall
1803-09-24,0,fall
1803-09-25,0,fall
1803-09-26,0,fall
1803-09-27,0,fall
1803-09-28,0,fall
1803-09-29,0,fall
1803-09-30,0,fall
1803-10-01,0,fall
1803-10-02,0,fall
1803-10-03,0,fall
1803-10-04,0,fall
1803-10-05,0,fall
1803-10-06,0,fall
1803-10-07,0,fall
1803-10-08,0,fall
1803-10-09,0,fall
1803-10-10,0,fall
1803-10-11,0,fall
1803-10-12,0,fall
1803-10-13,0,fall
1803-10-14,0,fall
1803-10-15,0,fall
1803-10-16,0,fall
1803-10-17,0,fall
1803-10-18,0,fall
1803-10-19,0,fall
1803-10-20,0,fall
1803-10-21,0,fall
1803-10-22,0,fall
1803-10-23,0,fall
1803-10-24,0,fall
1803-10-25,0,fall
1803-10-26,0,fall
1803-10-27,0,fall
1803-10-28,0,fall
1803-10-29,0,fall
1803-10-30,0,fall
1803-10-31,0,fall
1803-11-01,0,fall
1803-11-02,0,fall
1803-11-03,0,fall
1803-11-04,0,fall
1803-11-05,0,fall
1803-11-06,0,fall
1803-11-07,0,fall
1803-11-08,0,fall
1803-11-09,0,fall
1803-11-10,0,fall
1803-11-11,42,fall
1803-11-12,0,fall
1803-11-13,62,fall
1803-11-14,0,fall
1803-11-15,0,fall
1803-11-16,450,fall
1803-11-17,213,fall
1803-11-18,228,fall
1803-11-19,17,fall
1803-11-20,414,fall
1803-11-21,562,fall
1803-11-22,1308,fall
1803-11-23,1687,fall
1803-11-24,406,fall
1803-11-25,834,fall
1803-11-26,811,fall
1803-11-27,230,fall
1803-11-28,10,fall
1803-11-29,0,fall
1803-11-30,0,fall
1803-12-01,0,winter
1803-12-02,124,winter
1803-12-03,158,winter
1803-12-04,0,winter
1803-12-05,0,winter
1803-12-06,0,winter
1803-12-07,0,winter
1803-12-08,0,winter
1803-12-09,0,winter
1803-12-10,0,winter
1803-12-11,0,winter
1803-12-12,0,winter
1803-12-13,0,winter
1803-12-14,0,winter
1803-12-15,0,winter
1803-12-16,0,winter
1803-12-17,0,winter
1803-12-18,0,winter
1803-12-19,0,winter
1803-12-20,0,winter
1803-12-21,0,winter
1803-12-22,0,winter
1803-12-23,0,winter
1803-12-24,0,winter
1803-12-25,0,winter
1803-12-26,0,winter
1803-12-27,0,winter
1803-12-28,0,winter
1803-12-29,0,winter
1803-12-30,0,winter
1803-12-31,0,winter
1804-01-01,0,winter
1804-01-02,0,winter
1804-01-03,0,winter
1804-01-04,0,winter
1804-01-05,0,winter
1804-01-06,0,winter
1804-01-07,0,winter
1804-01-08,0,winter
1804-01-09,0,winter
1804-01-10,0,winter
1804-01-11,0,winter
1804-01-12,0,winter
1804-01-13,0,winter
